iter	Passed	Remaining
0	2	2826
1	5	2948
2	9	3062
3	12	3013
4	15	2989
5	17	2818
6	19	2807
7	22	2802
8	25	2802
9	29	2951
10	32	2890
11	36	2968
12	38	2927
13	41	2903
14	44	2909
15	46	2836
16	48	2832
17	51	2834
18	54	2811
19	57	2824
20	60	2808
21	62	2765
22	65	2791
23	67	2761
24	69	2729
25	74	2800
26	76	2773
27	81	2815
28	82	2773
29	85	2775
30	89	2799
31	91	2775
32	93	2753
33	96	2742
34	98	2725
35	101	2711
36	104	2707
37	106	2684
38	108	2665
39	111	2669
40	112	2639
41	114	2618
42	117	2625
43	119	2602
44	121	2588
45	126	2613
46	127	2591
47	132	2637
48	135	2631
49	137	2621
50	141	2634
51	143	2615
52	147	2630
53	149	2620
54	152	2612
55	156	2632
56	158	2617
57	160	2608
58	165	2635
59	168	2641
60	171	2642
61	174	2642
62	177	2643
63	179	2629
64	183	2639
65	186	2635
66	188	2620
67	190	2617
68	193	2609
69	195	2602
70	199	2605
71	201	2593
72	203	2583
73	206	2582
74	208	2571
75	210	2558
76	213	2556
77	215	2547
78	217	2534
79	220	2537
80	223	2532
81	225	2522
82	226	2505
83	229	2506
84	231	2494
85	234	2488
86	237	2488
87	239	2483
88	242	2487
89	246	2490
90	249	2489
91	253	2498
92	255	2496
93	259	2496
94	260	2486
95	265	2496
96	267	2488
97	269	2480
98	272	2483
99	275	2475
100	278	2475
101	280	2473
102	282	2462
103	285	2458
104	288	2458
105	290	2447
106	292	2442
107	295	2439
108	297	2428
109	299	2420
110	302	2423
111	304	2415
112	308	2425
113	311	2422
114	315	2431
115	319	2435
116	321	2428
117	324	2427
118	326	2420
119	329	2414
120	332	2416
121	334	2406
122	336	2401
123	340	2403
124	342	2399
125	345	2397
126	347	2391
127	350	2385
128	354	2391
129	356	2384
130	358	2378
131	362	2380
132	364	2373
133	367	2377
134	370	2372
135	372	2365
136	375	2363
137	377	2355
138	379	2348
139	381	2344
140	383	2338
141	385	2328
142	387	2323
143	390	2318
144	391	2310
145	393	2302
146	396	2298
147	398	2291
148	399	2284
149	402	2278
150	404	2274
151	406	2266
152	407	2258
153	410	2255
154	412	2250
155	414	2243
156	416	2237
157	419	2234
158	421	2227
159	422	2219
160	424	2210
161	426	2208
162	428	2201
163	430	2194
164	432	2190
165	434	2184
166	436	2178
167	438	2172
168	441	2170
169	443	2164
170	445	2158
171	448	2158
172	450	2152
173	451	2145
174	453	2139
175	456	2137
176	458	2130
177	459	2123
178	461	2118
179	464	2115
180	466	2109
181	467	2102
182	470	2099
183	472	2095
184	474	2090
185	476	2084
186	478	2081
187	480	2075
188	482	2069
189	484	2063
190	486	2061
191	488	2056
192	490	2050
193	492	2047
194	494	2042
195	496	2037
196	498	2031
197	500	2027
198	502	2021
199	503	2014
200	505	2009
201	508	2008
202	510	2003
203	512	1998
204	513	1993
205	516	1991
206	518	1985
207	520	1981
208	522	1976
209	524	1972
210	526	1967
211	527	1962
212	530	1959
213	532	1955
214	533	1949
215	535	1944
216	538	1942
217	539	1936
218	541	1931
219	543	1926
220	545	1923
221	547	1918
222	549	1913
223	551	1909
224	553	1907
225	555	1902
226	557	1897
227	559	1892
228	561	1890
229	563	1885
230	564	1880
231	566	1876
232	569	1874
233	571	1869
234	572	1864
235	574	1861
236	577	1858
237	578	1853
238	580	1848
239	582	1845
240	584	1841
241	586	1836
242	587	1830
243	589	1827
244	591	1823
245	593	1818
246	595	1814
247	597	1811
248	599	1807
249	600	1802
250	602	1798
251	604	1795
252	606	1790
253	607	1785
254	609	1781
255	611	1777
256	613	1775
257	615	1770
258	617	1765
259	619	1762
260	621	1760
261	623	1755
262	625	1751
263	627	1749
264	629	1745
265	630	1741
266	632	1737
267	635	1735
268	637	1731
269	638	1727
270	641	1724
271	643	1722
272	645	1718
273	647	1714
274	649	1712
275	651	1709
276	653	1705
277	654	1700
278	657	1698
279	659	1694
280	660	1691
281	662	1687
282	665	1685
283	666	1680
284	668	1676
285	670	1673
286	672	1671
287	674	1667
288	676	1664
289	678	1661
290	681	1661
291	683	1657
292	685	1653
293	687	1651
294	689	1647
295	691	1643
296	692	1640
297	695	1638
298	697	1634
299	699	1631
300	700	1627
301	703	1624
302	704	1621
303	706	1617
304	708	1614
305	711	1612
306	712	1608
307	714	1604
308	716	1601
309	718	1599
310	720	1596
311	722	1592
312	723	1588
313	726	1586
314	727	1582
315	729	1579
316	731	1576
317	733	1573
